cat	GenderMale	GenderFemale	Gender by race!White men	Gender by race!White women	Gender by race!Black men	RaceWhite	RaceBlack	Age!18-29	Age!30-44	Age!45-59	Age!60 or over	Age!18-24	Age!25-29	Age!30-39	Age!40-49	Age!50-64	Age!65 or over	Age!18-64	Age by race!White 30-44	Age by race!White 45-59	Age by race!White 60+	"Total family income:!Under $15,000"	"Total family income:!$15,000-$29,999"	"Total family income:!$30,000-$49,999"	"Total family income:!$50,000-$74,999"	"Total family income:!$75,000-$99,999"	"Total family income:!$100,000-$149,999"	"Total family income:!Under $50,000"	"Total family income:!$50,000 or more"	"Total family income:!Under $100,000"	"Total family income:!$100,000 or more"	What was the last grade of school you completed?!High school graduate	What was the last grade of school you completed?!Some college or associate degree	What was the last grade of school you completed?!College graduate	What was the last grade of school you completed?!Postgraduate study	College Education!No college degree	College Education!College graduate	What was the last grade of school you completed?!High school graduate or less	What was the last grade of school you completed?!More than high school grad	"No matter how you voted today, do you usually think of yourself as a:!Democrat"	"No matter how you voted today, do you usually think of yourself as a:!Republican"	"No matter how you voted today, do you usually think of yourself as a:!Independent or something else"	Party by race!White Democrats	Party by race!White Independents	Party by race!Black Democrats	Party by race!All Republicans	"On most political matters, do you consider yourself:!Very liberal"	"On most political matters, do you consider yourself:!Somewhat liberal"	"On most political matters, do you consider yourself:!Moderate"	"On most political matters, do you consider yourself:!Somewhat conservative"	"On most political matters, do you consider yourself:!Very conservative"	"On most political matters, do you consider yourself:!Liberal"	"On most political matters, do you consider yourself:!Conservative"	When did you finally decide for whom to vote in today's presidential primary?!Just today	When did you finally decide for whom to vote in today's presidential primary?!In the last three days	When did you finally decide for whom to vote in today's presidential primary?!Sometime last week	When did you finally decide for whom to vote in today's presidential primary?!In the last month	When did you finally decide for whom to vote in today's presidential primary?!Before that	When did you finally decide for whom to vote in today's primary? (Last 3 days)!Within the last three days	When did you finally decide for whom to vote in today's primary? (Last 3 days)!Earlier than that	When did you finally decide for whom to vote in today's primary? (Last week)!Within the last week	When did you finally decide for whom to vote in today's primary? (Last week)!Earlier than that	Religion!Protestant	Religion!Other Christian	Religion!Something else	Religion!None	"Religion, combined Protestant and other Christian.!Protestant / Other Christian"	"Religion, combined Protestant and other Christian.!Something else"	"Religion, combined Protestant and other Christian.!None"	"Religion, combined Protestant and Other Christian, among Whites.!Protestant / Other Christian"	How often do you attend religious services?!More than once a week	How often do you attend religious services?!Once a week	How often do you attend religious services?!A few times a month	How often do you attend religious services?!A few times a year	How often do you attend religious services?!Never	How often do you attend religious services?!Weekly	How often do you attend religious services?!Occasionally	Church attendance by Religion!Protestant / Attend weekly	Church attendance by Religion!Protestant / Do not attend weekly	Church attendance by Religion!All Others	Are you currently married?!Yes	Are you currently married?!All Others	Gender by married!Married men	Gender by married!Married women	Gender by married!Single men	Gender by married!Single women	Which ONE of these three issues is the most important facing the country?!The economy	Which ONE of these three issues is the most important facing the country?!The war in Iraq	Which ONE of these three issues is the most important facing the country?!Health care	Which ONE of these four candidate qualities mattered most in deciding how you voted today?!Can bring about needed change	Which ONE of these four candidate qualities mattered most in deciding how you voted today?!Cares about people like me	Which ONE of these four candidate qualities mattered most in deciding how you voted today?!Has the right experience	Which ONE of these four candidate qualities mattered most in deciding how you voted today?!Has the best chance to win in November	Do you think the condition of the nation's economy is:!Good	Do you think the condition of the nation's economy is:!Not so good	Do you think the condition of the nation's economy is:!Poor	State of the national economy: 2 way!Excellent or Good	State of the national economy: 2 way!Not so good or Poor	Did either of these candidates for president attack the other unfairly?!Only Hillary Clinton did	Did either of these candidates for president attack the other unfairly?!Only Barack Obama did	Did either of these candidates for president attack the other unfairly?!Both did	Did either of these candidates for president attack the other unfairly?!Neither did	Did either of these candidates for president attack the other unfairly?!Hillary Clinton did	Did either of these candidates for president attack the other unfairly?!Hillary Clinton did not	Did either of these candidates for president attack the other unfairly?!Barack Obama did	Did either of these candidates for president attack the other unfairly?!Barack Obama did not	UNION HOUSEHOLD!Yes	UNION HOUSEHOLD!No	UNION MEMBER!Voter is union member	"UNION MEMBER!Union member in household, but not voter"	UNION MEMBER!No union voter in household	"No matter how you voted today, would you be:!Satisfied only if Hillary Clinton is the nominee"	"No matter how you voted today, would you be:!Satisfied only if Barack Obama is the nominee"	"No matter how you voted today, would you be:!Satisfied if either one is the nominee"	"No matter how you voted today, would you be:!Satisfied"	"No matter how you voted today, would you be:!Dissatisfied"	"Regardless of how you voted today, which one of these candidates do you think is most qualified to be commander in chief?!Hillary Clinton"	"Regardless of how you voted today, which one of these candidates do you think is most qualified to be commander in chief?!John Edwards"	"Regardless of how you voted today, which one of these candidates do you think is most qualified to be commander in chief?!Barack Obama"	"Regardless of how you voted today, which one of these candidates would be most likely to unite the country if elected president?!Hillary Clinton"	"Regardless of how you voted today, which one of these candidates would be most likely to unite the country if elected president?!John Edwards"	"Regardless of how you voted today, which one of these candidates would be most likely to unite the country if elected president?!Barack Obama"	Which best describes your family's financial situation?!Getting ahead financially	Which best describes your family's financial situation?!Holding steady financially	Which best describes your family's financial situation?!Falling behind financially	"In deciding your vote for president today, was the gender of the candidate:!The single most important factor"	"In deciding your vote for president today, was the gender of the candidate:!One of several important factors"	"In deciding your vote for president today, was the gender of the candidate:!Not an important factor"	"In deciding your vote for president today, was the gender of the candidate:!Important"	"In deciding your vote for president today, was the gender of the candidate:!Not important"	"In deciding your vote for president today, was the race of the candidate:!The single most important factor"	"In deciding your vote for president today, was the race of the candidate:!One of several important factors"	"In deciding your vote for president today, was the race of the candidate:!Not an important factor"	"In deciding your vote for president today, was the race of the candidate:!Important"	"In deciding your vote for president today, was the race of the candidate:!Not important"	Is your opinion of Bill Clinton:!Strongly favorable	Is your opinion of Bill Clinton:!Somewhat favorable	Is your opinion of Bill Clinton:!Somewhat unfavorable	Is your opinion of Bill Clinton:!Strongly unfavorable	Is your opinion of Bill Clinton:!Favorable	Is your opinion of Bill Clinton:!Unfavorable	"In your vote in today's presidential primary, how would you rate the importance of Ted Kennedy's endorsement of Barack Obama?!Very important"	"In your vote in today's presidential primary, how would you rate the importance of Ted Kennedy's endorsement of Barack Obama?!Somewhat important"	"In your vote in today's presidential primary, how would you rate the importance of Ted Kennedy's endorsement of Barack Obama?!Not too important"	"In your vote in today's presidential primary, how would you rate the importance of Ted Kennedy's endorsement of Barack Obama?!Not at all important"	"In your vote in today's presidential primary, how would you rate the importance of Ted Kennedy's endorsement of Barack Obama?!Very / Somewhat important"	"In your vote in today's presidential primary, how would you rate the importance of Ted Kennedy's endorsement of Barack Obama?!Not too / Not at all important"	Geo Stratum Code!Jefferson County	Geo Stratum Code!Black Belt	Geo Stratum Code!North Central	Geo Stratum Code!South	Geo Stratum Code!North	"Population of area, five categories!50 to 500,000"	"Population of area, five categories!Suburbs"	"Population of area, five categories!10 to 50,000"	"Population of area, five categories!Rural"	"Population of area, three categories!City over 50,000"	"Population of area, three categories!Suburbs"	"Population of area, three categories!Small city and Rural"	Gender by race!Latino men	Gender by race!Latino women	Gender by race!All other races	Race!Hispanic / Latino	Race!Other	Age!60 and over	Age!65 and over	Age by race!Latino 30-44	Age by race!Latino 45-59	Age by race!All other	"Total family income:!$200,000 or more"	Party by race!Latino Democrats	Party by race!All other	Religion!Catholic	Religion!Jewish	"Religion, combined Protestant and other Christian.!Catholic"	"Religion, combined Protestant and other Christian.!Jewish"	"Religion, combined Protestant and Other Christian, among Whites.!Catholic"	"Religion, combined Protestant and Other Christian, among Whites.!Jewish"	"Religion, combined Protestant and Other Christian, among Whites.!Something else"	"Religion, combined Protestant and Other Christian, among Whites.!None"	Church attendance by Religion!Catholic / Attend weekly	Church attendance by Religion!Catholic / Do not attend weekly	"No matter how you voted today, would you be:!Dissatisfied if either one is the nominee"	Should most illegal immigrants working in the United States be:!Offered a chance to apply for citizenship	Should most illegal immigrants working in the United States be:!Allowed to stay as temporary workers	Should most illegal immigrants working in the United States be:!Deported to the country they came from	Geo Stratum Code!Maricopa County	Geo Stratum Code!Pima / Pinal / SCruz	Geo Stratum Code!Rest of State	"Population of area, five categories!Over 500,000"	Age by race!White 18-29	Is your opinion of Hillary Clinton:!Strongly favorable	Is your opinion of Hillary Clinton:!Somewhat favorable	Is your opinion of Hillary Clinton:!Somewhat unfavorable	Is your opinion of Hillary Clinton:!Strongly unfavorable	Is your opinion of Hillary Clinton:!Favorable	Is your opinion of Hillary Clinton:!Unfavorable	Geo Stratum Code!EAST	Geo Stratum Code!L. ROCK	Geo Stratum Code!NWEST	Geo Stratum Code!SOUTH	Race!Asian	Age by race!Latino 18-29	Age by race!Latino 60+	"Total family income:!$150,000-$199,999"	Party by race!Latino Independents	"Are you gay, lesbian or bisexual?!Yes"	"Are you gay, lesbian or bisexual?!All Others"	Geo Stratum Code!Los Angeles Co	Geo Stratum Code!Southern Calif	Geo Stratum Code!Bay Area	Geo Stratum Code!Coastal	Geo Stratum Code!Inland / Valley	Is your opinion of Joe Lieberman:!Very favorable	Is your opinion of Joe Lieberman:!Somewhat favorable	Is your opinion of Joe Lieberman:!Somewhat unfavorable	Is your opinion of Joe Lieberman:!Very unfavorable	Is your opinion of Joe Lieberman:!Favorable	Is your opinion of Joe Lieberman:!Unfavorable	Geo Stratum Code!LgeCitsXptStamfd	Geo Stratum Code!ConnectictValley	Geo Stratum Code!Coast / NY Sub	Geo Stratum Code!East / West Rural	Geo Stratum Code!New Castle Co	Geo Stratum Code!Kent & Sussex Co	Gender by white!White male	Gender by white!White female	Gender by white!Non-white male	Gender by white!Non-white female	Gender by black!Black male	Gender by black!Black female	Gender by black!Non-black male	Gender by black!Non-black female	"Are you of Cuban or Hispanic descent?!Yes, other Hispanic"	Are you of Cuban or Hispanic descent?!All others	Age by Race!Black 30-44
alabama	16	15	-43	-50	79	-47	69	32	26	26	-14	36	28	39	17	15	-24	23	-36	-38	-64	10	28	8	13	15	20	15	14	14	15	1	11	34	26	5	30	0	21	18	-7	0	-55	-33	67	-6	6	16	17	2	33	12	13	-19	6	38	32	14	-10	22	3	20	-7	34	27	20	13	29	20	-50	25	17	26	-1	-26	20	11	-9	-6	30	7	25	9	7	28	24	8	35	4	49	6	-73	-1	31	17	7	31	12	82	-48	5	-1	36	-8	-6	27	5	17	9	-1	17	-87	92	31	-14	82	-78	-10	97	-85	-19	87	33	13	5	21	13	14	15	14	16	31	8	27	8	-26	35	50	53	2	51	58	36	-21	-47	51	-39	45	46	-6	19	-19	47	1	33	-29	47	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
arizona	5	-13	-1	-24	NA	-15	67	22	2	2	-23	NA	NA	17	-11	-1	NA	2	-6	-3	-31	-21	-13	1	-7	2	-6	-7	-4	-6	-4	-27	-3	-2	8	-13	3	-29	1	-10	NA	10	-20	3	74	NA	2	-3	-11	3	NA	-2	-10	-5	-1	12	22	-27	-3	-6	1	-9	-13	-1	16	6	-8	19	6	-21	4	-16	-3	-14	1	-9	-10	-6	-16	6	-8	-3	-1	-13	15	-12	-16	5	-1	38	-22	-77	0	-7	1	-13	-10	-6	70	-62	-25	-17	6	-22	-31	10	-20	-4	-25	-14	-4	-95	92	-5	-32	69	-73	19	88	-92	1	55	-3	-5	-12	NA	-28	0	-30	0	NA	-15	-5	-16	-5	NA	NA	NA	NA	NA	NA	18	2	-27	-28	11	-27	NA	NA	NA	NA	NA	-8	-10	NA	7	-5	-10	3	-5	-20	1	-14	-8	-23	-29	-10	-26	1	-13	-23	16	-20	-7	-20	-7	-28	-14	3	5	-19	-20	12	-1	-2	-24	-10	0	-3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
arkansas	-34	-50	-47	-74	NA	-63	49	-13	-30	-39	-63	NA	NA	-31	-24	-51	-64	-36	-61	-61	-70	-46	-51	-37	-39	-44	-45	-43	-39	-42	-36	-56	-39	-23	-44	-48	-32	-57	-35	-49	NA	-24	-74	-31	49	NA	-39	-48	-46	-28	-13	-45	-22	-36	-17	-25	-20	-58	-28	-47	-28	-49	-54	-29	-13	-42	-44	-13	-42	-65	-31	-37	-47	-51	-50	-35	-50	-55	-54	-28	-41	-41	-28	-52	-38	-43	-45	-31	-51	-6	-34	-95	-50	-14	-43	-48	-13	-45	61	-87	-41	-60	-15	-65	-52	-36	-40	-44	-36	-45	-44	-96	90	-19	-62	68	-92	-6	95	-96	-35	67	-31	-41	-48	NA	-45	-41	-48	-41	NA	-35	-41	-44	-41	-70	-24	33	NA	-55	44	22	-14	-51	-71	1	-63	NA	NA	NA	NA	NA	-21	-60	-40	-46	-21	-60	-45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-42	-85	-6	65	68	-57	67	-49	-32	-52	-39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
california	3	-23	20	-20	62	-1	60	0	-1	-13	-21	-2	1	5	-15	-15	-17	-8	11	-4	-14	-15	-25	-27	-7	-5	10	-24	0	-15	7	-28	-12	0	6	-21	2	-36	-4	-19	NA	24	-7	29	53	NA	0	-8	-17	-6	NA	-5	-8	-8	8	-5	22	-35	-1	-13	-3	-15	-7	-5	14	9	-8	18	9	-14	-11	-25	-18	-11	5	-21	-14	-10	-9	7	-9	-11	3	-22	5	-21	-16	7	-28	28	-19	-83	-15	-15	-5	-18	-11	-10	66	-78	-24	-13	0	-20	-30	7	-15	-9	-12	-18	-9	-93	86	-8	-33	69	-77	16	85	-93	-10	62	-4	-9	-13	-39	-47	0	-44	0	-30	-17	-9	-23	-9	NA	NA	NA	NA	NA	NA	11	6	-21	-27	9	-24	NA	NA	NA	NA	NA	-6	-13	-1	-20	-9	-13	-12	-25	-43	-32	-35	7	NA	NA	-20	-43	-30	3	-42	-29	-36	2	-36	2	-17	0	30	18	-44	-31	14	NA	NA	NA	NA	NA	NA	-12	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-46	-30	-58	5	13	-34	-10	-14	-17	-2	-5	-13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
connecticut	21	-8	17	-14	NA	-1	50	19	4	2	2	28	12	10	1	5	-3	6	-5	-4	0	NA	-7	-12	2	14	6	-6	9	1	11	-14	-10	15	17	-11	17	-12	9	-2	NA	30	-8	28	67	NA	4	5	3	10	NA	5	10	-8	19	28	27	-12	4	5	9	3	25	30	33	5	27	36	5	14	NA	4	10	-5	17	4	-1	28	23	20	5	3	20	-6	28	-12	2	28	-18	44	22	-88	21	27	5	-1	27	3	87	-90	-17	-13	25	-24	-29	23	-1	6	2	-5	6	-98	96	6	-26	85	-67	37	94	-96	9	72	11	6	-4	NA	-37	16	-39	16	NA	22	3	15	3	NA	NA	NA	NA	NA	NA	44	14	-2	-20	26	-13	NA	NA	NA	NA	NA	13	4	NA	6	13	4	2	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	26	-9	NA	-20	23	-20	23	-20	26	NA	2	-18	-21	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	-4	-3	4	11	-3	8	10	-2	11	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
delaware	20	6	0	-26	84	-16	77	38	23	21	-14	NA	NA	22	19	13	NA	20	-7	-10	-31	NA	-3	13	19	2	16	2	17	7	26	-7	0	25	34	-3	29	-6	18	12	NA	6	-16	-26	77	NA	23	9	9	20	NA	13	16	-10	24	29	37	-6	8	12	14	9	4	47	NA	25	25	36	25	-17	43	13	18	-5	14	21	2	15	-5	35	8	15	12	4	34	7	8	20	10	52	17	-74	NA	3	17	7	4	12	82	-33	-12	-1	25	-7	-16	30	-1	16	-3	4	16	-89	91	24	-16	77	-61	NA	93	-93	-23	78	27	10	9	NA	-5	15	-6	15	NA	23	7	31	7	NA	NA	NA	NA	NA	NA	43	32	4	-37	39	-20	NA	NA	NA	NA	NA	34	1	NA	-5	34	1	9	NA	NA	NA	NA	NA	-14	-18	NA	NA	NA	NA	NA	NA	-25	NA	-25	NA	-29	NA	NA	NA	-23	-26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
florida	-4	-23	NA	NA	NA	-30	48	-1	-1	-9	-32	10	-11	6	-6	-16	-35	-8	NA	NA	NA	-31	-20	-17	-5	-17	-21	-20	-12	-15	-16	-32	-19	-5	-8	-24	-6	-29	-12	-17	4	-10	NA	NA	NA	NA	-18	-13	-22	-2	9	-16	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	-16	4	9	-2	-7	8	-2	-23	17	-15	-14	-27	-20	-3	-23	-3	-27	-4	-16	NA	-7	-23	-1	-21	-18	-8	-19	15	-20	-80	-29	-1	-9	-24	NA	NA	60	-68	-33	-29	-6	-36	-37	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-83	4	88	-93	-7	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-4	-19	NA	-20	-5	-19	-18	NA	NA	NA	-29	NA	NA	NA	NA	NA	NA	0	NA	NA	-41	-32	-41	-32	-48	-34	NA	-10	-35	-45	NA	NA	NA	NA	NA	NA	NA	-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-24	NA	NA	NA	-19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-18	-38	23	7	51	45	-18	-39	-33	-14	62
georgia	43	32	2	-17	84	-10	77	57	51	27	7	64	45	53	45	22	-10	41	3	-21	-29	29	25	38	38	36	36	33	36	35	37	25	41	44	32	31	38	12	38	35	NA	30	-21	-4	77	NA	16	41	40	31	NA	31	25	-2	23	58	56	32	10	42	24	40	6	55	47	39	35	50	39	-22	40	35	42	34	14	38	38	13	-1	50	29	42	36	24	53	40	31	54	33	69	38	-80	2	29	36	35	31	36	93	NA	9	30	45	24	4	53	35	35	20	53	35	-80	97	36	7	88	-59	15	96	-85	-17	85	54	30	33	NA	1	40	12	40	NA	53	31	48	31	1	45	69	63	23	67	67	56	17	-7	62	1	NA	NA	NA	28	-3	37	37	25	25	37	37	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	44	NA	NA	12	NA	12	NA	-12	NA	NA	8	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
illinois	38	29	22	13	96	16	88	40	45	34	9	32	46	42	42	32	0	38	33	14	-8	28	35	29	27	21	30	30	30	27	41	14	32	46	32	25	39	17	36	27	24	50	7	40	87	23	31	37	31	10	NA	34	21	-8	24	14	33	46	3	39	6	43	20	60	65	57	40	69	57	15	43	29	22	24	48	33	23	15	23	60	24	42	30	18	52	37	26	43	33	63	40	-80	31	31	33	32	32	32	83	-16	9	20	44	16	6	46	28	35	32	21	35	-89	98	27	-7	91	-67	22	98	-91	-4	91	27	35	29	23	11	36	14	36	21	53	26	45	26	-10	34	69	85	14	74	64	42	15	-6	54	3	NA	NA	NA	11	28	55	22	16	4	49	22	10	22	-16	NA	1	NA	NA	NA	17	NA	NA	NA	-3	NA	-2	NA	-2	NA	-7	NA	NA	52	3	-5	NA	NA	NA	NA	NA	NA	NA	46	43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
indiana	0	-4	-18	-22	82	-20	78	22	10	-4	-30	26	20	10	-2	-6	NA	4	-10	-24	-44	16	-12	-2	-4	2	-8	0	-2	-2	-4	-8	-10	12	12	-10	12	-8	0	-4	-8	8	-30	-4	80	-8	22	6	-6	-26	NA	12	-28	NA	NA	NA	NA	NA	NA	NA	NA	NA	-14	10	22	14	-2	20	14	-26	10	-6	2	-12	4	0	-8	-12	-14	12	NA	NA	NA	NA	NA	NA	-4	10	-14	40	8	-94	-26	NA	NA	NA	NA	NA	86	NA	-32	-36	14	-34	-32	22	-8	2	NA	-10	2	-96	98	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-20	0	-18	0	NA	-12	-2	-6	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-22	-2	12	-8	NA	-32	20	-8	-32	NA	NA	NA	NA	NA	-30	-40	NA	NA	NA	NA	NA	NA	-22	NA	-22	NA	-26	NA	NA	-2	-20	-24	NA	NA	NA	NA	NA	NA	NA	34	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
iowa	12	5	NA	NA	NA	6	56	46	19	3	NA	47	42	NA	NA	NA	NA	NA	NA	NA	NA	7	0	1	9	7	NA	2	13	NA	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	11	2	NA	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	NA	-27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
